BEGIN_CORRECTED_TSV
trial_id original_fixture_id replicate arm hard_eligible false_block_control hard_escape semantic_error semantic_error_stage semantic_fields_lost verifier_failure synthesis_boundary_failure false_block repair_attempted repair_eligible repair_success correct_abandonment conclusion_changed conclusion_change_correct final_classification evidence_ref
r1-DEV-9M34WA-a no-control 1 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_BOUNDED_INSUFFICIENCY ORIGINAL_PM_RESPONSE:r1-DEV-9M34WA-a
r1-DEV-D6JPFM-a immediate-vs-delayed 1 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_STATED_HYPOTHESIS ORIGINAL_PM_RESPONSE:r1-DEV-D6JPFM-a
r1-DEV-JRSYJV-a dose-modified-q 1 A NO YES NA NA NA NONE NA NA NO NA NA NA NA NA NA CORRECT_NARROW_DEFINITIVE_SUPPORT ORIGINAL_PM_RESPONSE:r1-DEV-JRSYJV-a
r1-DEV-L9JQC2-a tiny-vs-threshold 1 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_STATED_HYPOTHESIS ORIGINAL_PM_RESPONSE:r1-DEV-L9JQC2-a
r1-DEV-QWCNK4-a shared-q-control 1 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_SHARED_MARKER_EXPLANATION ORIGINAL_PM_RESPONSE:r1-DEV-QWCNK4-a
r1-DEV-S47VJN-a target-substitution 1 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_BOUNDED_TARGET_PRESERVATION_REJECTION ORIGINAL_PM_RESPONSE:r1-DEV-S47VJN-a
r1-DEV-SQBKLZ-a true-discriminator 1 A NO YES NA NA NA NONE NA NA NO NA NA NA NA NA NA CORRECT_NARROW_DEFINITIVE_SUPPORT ORIGINAL_PM_RESPONSE:r1-DEV-SQBKLZ-a
r1-DEV-Y8PCH6-a missing-high-information-qualifier 1 A NO NO NA NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_QUALIFIER_PRESERVATION_WARNING ORIGINAL_PM_RESPONSE:r1-DEV-Y8PCH6-a
r2-DEV-9M34WA-a no-control 2 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_BOUNDED_INSUFFICIENCY ORIGINAL_PM_RESPONSE:r2-DEV-9M34WA-a
r2-DEV-D6JPFM-a immediate-vs-delayed 2 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_STATED_HYPOTHESIS ORIGINAL_PM_RESPONSE:r2-DEV-D6JPFM-a
r2-DEV-JRSYJV-a dose-modified-q 2 A NO YES NA NA NA NONE NA NA NO NA NA NA NA NA NA CORRECT_NARROW_DEFINITIVE_SUPPORT ORIGINAL_PM_RESPONSE:r2-DEV-JRSYJV-a
r2-DEV-L9JQC2-a tiny-vs-threshold 2 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_STATED_HYPOTHESIS ORIGINAL_PM_RESPONSE:r2-DEV-L9JQC2-a
r2-DEV-QWCNK4-a shared-q-control 2 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_DEFINITIVE_REJECTION_OF_SHARED_MARKER_EXPLANATION ORIGINAL_PM_RESPONSE:r2-DEV-QWCNK4-a
r2-DEV-S47VJN-a target-substitution 2 A YES NO NO NA NA NONE NA NA NA NA NA NA NA NA NA CORRECT_BOUNDED_TARGET_PRESERVATION_REJECTION ORIGINAL_PM_RESPONSE:r2-DEV-S47VJN-a
r2-DEV-SQBKLZ-a true-discriminator 2 A NO YES NA NA NA NONE NA NA NO NA NA NA NA NA NA CORRECT_NARROW_DEFINITIVE_SUPPORT ORIGINAL_PM_RESPONSE:r2-DEV-SQBKLZ-a
